['+0.01', '+0.94', '+0.54', '-0.09', '-0.01', '-0.08', '+0.00', '+0.00', 1]
['+0.02', '+0.94', '+0.53', '-0.11', '-0.01', '-0.05', '+0.00', '+0.00', 1]
['+0.02', '+0.93', '+0.52', '-0.14', '-0.01', '+0.00', '+0.00', '+0.00', 1]
['+0.03', '+0.93', '+0.51', '-0.17', '-0.01', '+0.04', '+0.00', '+0.00', 1]
['+0.03', '+0.93', '+0.50', '-0.19', '-0.01', '+0.08', '+0.00', '+0.00', 1]
['+0.04', '+0.93', '+0.49', '-0.22', '-0.00', '+0.12', '+0.00', '+0.00', 1]
['+0.04', '+0.92', '+0.48', '-0.25', '+0.01', '+0.17', '+0.00', '+0.00', 1]
['+0.05', '+0.92', '+0.48', '-0.27', '+0.02', '+0.17', '+0.00', '+0.00', 0]
['+0.05', '+0.91', '+0.48', '-0.30', '+0.02', '+0.17', '+0.00', '+0.00', 0]
['+0.06', '+0.91', '+0.48', '-0.33', '+0.03', '+0.17', '+0.00', '+0.00', 0]
['+0.06', '+0.90', '+0.48', '-0.35', '+0.04', '+0.17', '+0.00', '+0.00', 0]
['+0.07', '+0.90', '+0.48', '-0.38', '+0.05', '+0.17', '+0.00', '+0.00', 0]
['+0.07', '+0.89', '+0.48', '-0.41', '+0.06', '+0.17', '+0.00', '+0.00', 0]
['+0.08', '+0.88', '+0.48', '-0.43', '+0.07', '+0.17', '+0.00', '+0.00', 0]
['+0.08', '+0.88', '+0.48', '-0.46', '+0.07', '+0.17', '+0.00', '+0.00', 0]
['+0.08', '+0.87', '+0.48', '-0.49', '+0.08', '+0.17', '+0.00', '+0.00', 0]
['+0.09', '+0.86', '+0.48', '-0.51', '+0.09', '+0.17', '+0.00', '+0.00', 0]
['+0.09', '+0.85', '+0.48', '-0.54', '+0.10', '+0.17', '+0.00', '+0.00', 0]
['+0.10', '+0.85', '+0.48', '-0.57', '+0.11', '+0.17', '+0.00', '+0.00', 0]
['+0.10', '+0.84', '+0.48', '-0.59', '+0.12', '+0.17', '+0.00', '+0.00', 0]
['+0.11', '+0.83', '+0.48', '-0.62', '+0.13', '+0.17', '+0.00', '+0.00', 0]
['+0.11', '+0.82', '+0.48', '-0.65', '+0.13', '+0.17', '+0.00', '+0.00', 0]
['+0.12', '+0.81', '+0.48', '-0.67', '+0.14', '+0.17', '+0.00', '+0.00', 0]
['+0.12', '+0.80', '+0.48', '-0.70', '+0.15', '+0.17', '+0.00', '+0.00', 0]
['+0.13', '+0.79', '+0.48', '-0.73', '+0.16', '+0.17', '+0.00', '+0.00', 0]
['+0.13', '+0.78', '+0.48', '-0.76', '+0.17', '+0.17', '+0.00', '+0.00', 0]
['+0.14', '+0.76', '+0.48', '-0.78', '+0.17', '+0.14', '+0.00', '+0.00', 3]
['+0.14', '+0.75', '+0.48', '-0.81', '+0.18', '+0.14', '+0.00', '+0.00', 0]
['+0.15', '+0.74', '+0.46', '-0.79', '+0.19', '+0.13', '+0.00', '+0.00', 2]
['+0.15', '+0.73', '+0.43', '-0.75', '+0.19', '+0.12', '+0.00', '+0.00', 2]
['+0.16', '+0.72', '+0.41', '-0.72', '+0.20', '+0.11', '+0.00', '+0.00', 2]
['+0.16', '+0.71', '+0.41', '-0.74', '+0.20', '+0.11', '+0.00', '+0.00', 0]
['+0.16', '+0.70', '+0.40', '-0.73', '+0.21', '+0.12', '+0.00', '+0.00', 2]
['+0.17', '+0.69', '+0.38', '-0.71', '+0.22', '+0.11', '+0.00', '+0.00', 2]
['+0.17', '+0.68', '+0.37', '-0.69', '+0.22', '+0.12', '+0.00', '+0.00', 2]
['+0.18', '+0.66', '+0.36', '-0.68', '+0.23', '+0.12', '+0.00', '+0.00', 2]
