['-0.39', '+0.32', '+0.08', '-0.03', 1]
['-0.02', '+0.14', '+0.04', '-0.26', 1]
['-0.01', '-0.05', '+0.04', '+0.05', 0]
['-0.01', '+0.14', '+0.04', '-0.23', 1]
['-0.01', '-0.05', '+0.04', '+0.07', 0]
['-0.01', '+0.14', '+0.04', '-0.21', 1]
['-0.01', '-0.05', '+0.03', '+0.09', 0]
['-0.01', '+0.14', '+0.04', '-0.19', 1]
['-0.01', '-0.05', '+0.03', '+0.12', 0]
['-0.01', '+0.14', '+0.03', '-0.17', 1]
['-0.01', '-0.06', '+0.03', '+0.14', 0]
['-0.01', '+0.14', '+0.03', '-0.15', 1]
['-0.00', '-0.06', '+0.03', '+0.16', 0]
['-0.01', '+0.14', '+0.03', '-0.13', 1]
['-0.00', '-0.06', '+0.03', '+0.18', 0]
['-0.00', '+0.14', '+0.03', '-0.11', 1]
['-0.00', '-0.06', '+0.03', '+0.20', 0]
['-0.00', '+0.14', '+0.04', '-0.09', 1]
['+0.00', '+0.33', '+0.03', '-0.37', 1]
['+0.01', '+0.14', '+0.03', '-0.06', 0]
['+0.01', '+0.33', '+0.03', '-0.35', 1]
['+0.02', '+0.13', '+0.02', '-0.05', 0]
['+0.02', '+0.33', '+0.02', '-0.33', 1]
['+0.03', '+0.13', '+0.01', '-0.03', 0]
['+0.03', '+0.33', '+0.01', '-0.32', 1]
['+0.04', '+0.13', '+0.00', '-0.03', 0]
['+0.04', '+0.33', '+0.00', '-0.32', 1]
['+0.04', '+0.13', '-0.00', '-0.03', 0]
['+0.05', '+0.33', '-0.00', '-0.32', 1]
['+0.05', '+0.13', '-0.01', '-0.03', 0]
['+0.06', '+0.33', '-0.01', '-0.32', 1]
['+0.06', '+0.13', '-0.02', '-0.03', 0]
['+0.07', '+0.33', '-0.02', '-0.33', 1]
['+0.07', '+0.13', '-0.02', '-0.04', 0]
['+0.07', '+0.33', '-0.02', '-0.34', 1]
['+0.08', '+0.14', '-0.03', '-0.06', 0]
['+0.08', '+0.33', '-0.03', '-0.36', 1]
['+0.09', '+0.14', '-0.04', '-0.08', 0]
['+0.09', '-0.06', '-0.04', '+0.20', 0]
['+0.09', '+0.14', '-0.04', '-0.11', 1]
['+0.10', '-0.06', '-0.04', '+0.18', 0]
