['-0.20', '+0.00', '+0.04', '-0.01', 1]
['-0.01', '-0.24', '+0.02', '+0.26', 0]
['-0.02', '-0.05', '+0.03', '-0.03', 1]
['-0.02', '+0.15', '+0.03', '-0.31', 1]
['-0.01', '-0.05', '+0.02', '-0.01', 0]
['-0.02', '+0.15', '+0.02', '-0.29', 1]
['-0.01', '-0.05', '+0.02', '+0.01', 0]
['-0.01', '+0.15', '+0.02', '-0.28', 1]
['-0.01', '-0.05', '+0.01', '+0.02', 0]
['-0.01', '+0.15', '+0.01', '-0.27', 1]
['-0.01', '-0.05', '+0.01', '+0.02', 0]
['-0.01', '+0.15', '+0.01', '-0.27', 1]
['-0.01', '-0.05', '+0.00', '+0.03', 0]
['-0.01', '+0.15', '+0.00', '-0.26', 1]
['-0.00', '-0.05', '-0.00', '+0.03', 0]
['-0.01', '+0.15', '-0.00', '-0.26', 1]
['-0.00', '-0.05', '-0.01', '+0.03', 0]
['-0.00', '+0.15', '-0.01', '-0.27', 1]
['-0.00', '-0.05', '-0.01', '+0.02', 0]
['-0.00', '+0.15', '-0.01', '-0.27', 1]
['+0.00', '-0.05', '-0.02', '+0.01', 0]
['+0.00', '+0.15', '-0.02', '-0.28', 1]
['+0.00', '-0.05', '-0.02', '+0.00', 0]
['+0.00', '+0.15', '-0.02', '-0.30', 1]
['+0.01', '-0.05', '-0.03', '-0.01', 0]
['+0.00', '-0.24', '-0.03', '+0.27', 0]
['-0.00', '-0.05', '-0.02', '-0.03', 1]
['-0.00', '-0.24', '-0.02', '+0.26', 0]
['-0.01', '-0.05', '-0.02', '-0.05', 1]
['-0.01', '-0.24', '-0.02', '+0.24', 0]
['-0.01', '-0.04', '-0.02', '-0.06', 1]
['-0.01', '-0.24', '-0.02', '+0.23', 0]
['-0.02', '-0.04', '-0.01', '-0.07', 1]
['-0.02', '-0.24', '-0.01', '+0.22', 0]
['-0.02', '-0.04', '-0.01', '-0.08', 1]
['-0.02', '-0.24', '-0.01', '+0.21', 0]
['-0.03', '-0.04', '-0.01', '-0.08', 1]
['-0.03', '-0.24', '-0.01', '+0.21', 0]
['-0.03', '-0.04', '-0.00', '-0.09', 1]
['-0.04', '-0.24', '-0.01', '+0.21', 0]
['-0.04', '-0.04', '-0.00', '-0.09', 1]
['-0.04', '-0.24', '-0.00', '+0.20', 0]
['-0.05', '-0.04', '+0.00', '-0.09', 1]
['-0.05', '-0.24', '-0.00', '+0.20', 0]
['-0.05', '-0.04', '+0.00', '-0.09', 1]
['-0.05', '-0.24', '+0.00', '+0.20', 0]
['-0.06', '-0.04', '+0.01', '-0.09', 1]
['-0.06', '-0.24', '+0.00', '+0.21', 0]
['-0.06', '-0.04', '+0.01', '-0.09', 1]
['-0.06', '-0.24', '+0.01', '+0.21', 0]
['-0.07', '-0.04', '+0.01', '-0.08', 1]
['-0.07', '-0.24', '+0.01', '+0.21', 0]
['-0.07', '-0.04', '+0.01', '-0.08', 1]
['-0.08', '-0.24', '+0.01', '+0.22', 0]
['-0.08', '-0.04', '+0.02', '-0.07', 1]
['-0.08', '-0.24', '+0.01', '+0.23', 0]
['-0.09', '-0.04', '+0.02', '-0.06', 1]
['-0.09', '-0.24', '+0.02', '+0.24', 0]
['-0.09', '-0.05', '+0.02', '-0.05', 1]
['-0.09', '-0.24', '+0.02', '+0.25', 0]
['-0.10', '-0.05', '+0.03', '-0.03', 1]
['-0.10', '-0.24', '+0.03', '+0.27', 0]
['-0.10', '-0.05', '+0.03', '-0.02', 1]
['-0.10', '+0.15', '+0.03', '-0.30', 1]
['-0.10', '-0.05', '+0.03', '+0.00', 0]
['-0.10', '+0.15', '+0.03', '-0.28', 1]
['-0.10', '-0.05', '+0.02', '+0.02', 0]
['-0.10', '+0.15', '+0.02', '-0.27', 1]
['-0.10', '-0.05', '+0.01', '+0.03', 0]
['-0.10', '+0.15', '+0.02', '-0.26', 1]
['-0.09', '-0.05', '+0.01', '+0.04', 0]
['-0.10', '+0.15', '+0.01', '-0.25', 1]
['-0.09', '-0.05', '+0.01', '+0.05', 0]
['-0.09', '+0.15', '+0.01', '-0.24', 1]
['-0.09', '-0.05', '+0.00', '+0.05', 0]
['-0.09', '+0.15', '+0.00', '-0.24', 1]
['-0.09', '-0.05', '-0.00', '+0.05', 0]
['-0.09', '+0.15', '-0.00', '-0.24', 1]
['-0.09', '-0.05', '-0.01', '+0.05', 0]
['-0.09', '+0.15', '-0.00', '-0.24', 1]
['-0.09', '-0.05', '-0.01', '+0.05', 0]
['-0.09', '+0.15', '-0.01', '-0.24', 1]
['-0.08', '-0.05', '-0.01', '+0.05', 0]
['-0.08', '+0.15', '-0.01', '-0.25', 1]
['-0.08', '-0.05', '-0.02', '+0.04', 0]
['-0.08', '+0.15', '-0.02', '-0.26', 1]
['-0.08', '-0.05', '-0.02', '+0.03', 0]
['-0.08', '+0.15', '-0.02', '-0.27', 1]
['-0.08', '-0.05', '-0.03', '+0.01', 0]
['-0.08', '+0.15', '-0.03', '-0.29', 1]
['-0.08', '-0.05', '-0.03', '-0.00', 0]
['-0.08', '-0.24', '-0.03', '+0.28', 0]
['-0.08', '-0.05', '-0.03', '-0.02', 1]
['-0.08', '-0.24', '-0.03', '+0.26', 0]
['-0.09', '-0.05', '-0.02', '-0.04', 1]
['-0.09', '-0.24', '-0.02', '+0.25', 0]
['-0.09', '-0.04', '-0.02', '-0.05', 1]
['-0.09', '-0.24', '-0.02', '+0.23', 0]
['-0.10', '-0.04', '-0.01', '-0.06', 1]
['-0.10', '-0.24', '-0.01', '+0.22', 0]
['-0.10', '-0.04', '-0.01', '-0.07', 1]
['-0.10', '-0.24', '-0.01', '+0.22', 0]
['-0.11', '-0.04', '-0.01', '-0.08', 1]
['-0.11', '-0.24', '-0.01', '+0.21', 0]
['-0.12', '-0.04', '-0.01', '-0.09', 1]
['-0.12', '-0.24', '-0.01', '+0.21', 0]
['-0.12', '-0.04', '-0.00', '-0.09', 1]
['-0.12', '-0.24', '-0.00', '+0.20', 0]
['-0.13', '-0.04', '-0.00', '-0.09', 1]
['-0.13', '-0.24', '-0.00', '+0.20', 0]
['-0.13', '-0.04', '+0.00', '-0.09', 1]
['-0.13', '-0.24', '-0.00', '+0.20', 0]
['-0.14', '-0.04', '+0.00', '-0.09', 1]
['-0.14', '-0.24', '+0.00', '+0.20', 0]
['-0.14', '-0.04', '+0.01', '-0.09', 1]
['-0.14', '-0.24', '+0.00', '+0.20', 0]
