['+0.02', '+0.94', '+0.76', '-0.08', '-0.02', '-0.14', '+0.00', '+0.00', 1]
['+0.02', '+0.94', '+0.75', '-0.10', '-0.02', '-0.09', '+0.00', '+0.00', 1]
['+0.03', '+0.94', '+0.74', '-0.13', '-0.02', '-0.06', '+0.00', '+0.00', 1]
['+0.04', '+0.93', '+0.73', '-0.16', '-0.02', '-0.01', '+0.00', '+0.00', 1]
['+0.04', '+0.93', '+0.72', '-0.18', '-0.02', '+0.03', '+0.00', '+0.00', 1]
['+0.05', '+0.93', '+0.71', '-0.21', '-0.02', '+0.07', '+0.00', '+0.00', 1]
['+0.06', '+0.92', '+0.70', '-0.24', '-0.01', '+0.10', '+0.00', '+0.00', 1]
['+0.07', '+0.92', '+0.69', '-0.26', '-0.01', '+0.15', '+0.00', '+0.00', 1]
['+0.07', '+0.92', '+0.68', '-0.29', '+0.00', '+0.19', '+0.00', '+0.00', 1]
['+0.08', '+0.91', '+0.68', '-0.32', '+0.01', '+0.19', '+0.00', '+0.00', 0]
['+0.09', '+0.91', '+0.68', '-0.34', '+0.02', '+0.19', '+0.00', '+0.00', 0]
['+0.09', '+0.90', '+0.68', '-0.37', '+0.03', '+0.19', '+0.00', '+0.00', 0]
['+0.10', '+0.89', '+0.68', '-0.40', '+0.04', '+0.19', '+0.00', '+0.00', 0]
['+0.11', '+0.89', '+0.68', '-0.42', '+0.05', '+0.19', '+0.00', '+0.00', 0]
['+0.11', '+0.88', '+0.68', '-0.45', '+0.06', '+0.19', '+0.00', '+0.00', 0]
['+0.12', '+0.87', '+0.68', '-0.48', '+0.07', '+0.19', '+0.00', '+0.00', 0]
['+0.13', '+0.87', '+0.68', '-0.50', '+0.08', '+0.19', '+0.00', '+0.00', 0]
['+0.13', '+0.86', '+0.68', '-0.53', '+0.09', '+0.19', '+0.00', '+0.00', 0]
['+0.14', '+0.85', '+0.68', '-0.56', '+0.10', '+0.19', '+0.00', '+0.00', 0]
['+0.15', '+0.84', '+0.68', '-0.58', '+0.11', '+0.19', '+0.00', '+0.00', 0]
['+0.16', '+0.83', '+0.68', '-0.61', '+0.11', '+0.19', '+0.00', '+0.00', 0]
['+0.16', '+0.82', '+0.68', '-0.64', '+0.12', '+0.19', '+0.00', '+0.00', 0]
['+0.17', '+0.81', '+0.68', '-0.66', '+0.13', '+0.19', '+0.00', '+0.00', 0]
['+0.18', '+0.80', '+0.69', '-0.69', '+0.14', '+0.14', '+0.00', '+0.00', 3]
['+0.18', '+0.79', '+0.69', '-0.72', '+0.15', '+0.14', '+0.00', '+0.00', 0]
['+0.19', '+0.78', '+0.69', '-0.74', '+0.15', '+0.14', '+0.00', '+0.00', 0]
['+0.20', '+0.77', '+0.69', '-0.77', '+0.16', '+0.14', '+0.00', '+0.00', 0]
['+0.20', '+0.76', '+0.69', '-0.76', '+0.17', '+0.15', '+0.00', '+0.00', 2]
['+0.21', '+0.75', '+0.66', '-0.74', '+0.18', '+0.13', '+0.00', '+0.00', 2]
['+0.22', '+0.74', '+0.66', '-0.72', '+0.18', '+0.15', '+0.00', '+0.00', 2]
['+0.22', '+0.73', '+0.66', '-0.69', '+0.19', '+0.16', '+0.00', '+0.00', 2]
['+0.23', '+0.71', '+0.67', '-0.71', '+0.20', '+0.12', '+0.00', '+0.00', 3]
['+0.24', '+0.70', '+0.66', '-0.67', '+0.20', '+0.13', '+0.00', '+0.00', 2]
