['+0.01', '+0.95', '+0.51', '+0.45', '-0.01', '-0.07', '+0.00', '+0.00', 1]
['+0.02', '+0.96', '+0.50', '+0.42', '-0.01', '-0.02', '+0.00', '+0.00', 1]
['+0.02', '+0.97', '+0.49', '+0.40', '-0.01', '+0.02', '+0.00', '+0.00', 1]
['+0.02', '+0.97', '+0.48', '+0.37', '-0.01', '+0.07', '+0.00', '+0.00', 1]
['+0.03', '+0.98', '+0.47', '+0.34', '-0.00', '+0.10', '+0.00', '+0.00', 1]
['+0.03', '+0.98', '+0.46', '+0.32', '+0.01', '+0.15', '+0.00', '+0.00', 1]
['+0.04', '+0.99', '+0.46', '+0.29', '+0.01', '+0.15', '+0.00', '+0.00', 0]
['+0.04', '+0.99', '+0.46', '+0.26', '+0.02', '+0.15', '+0.00', '+0.00', 0]
['+0.05', '+0.99', '+0.46', '+0.24', '+0.03', '+0.15', '+0.00', '+0.00', 0]
['+0.05', '+1.00', '+0.46', '+0.21', '+0.04', '+0.15', '+0.00', '+0.00', 0]
['+0.06', '+1.00', '+0.46', '+0.18', '+0.04', '+0.15', '+0.00', '+0.00', 0]
['+0.06', '+1.00', '+0.46', '+0.16', '+0.05', '+0.15', '+0.00', '+0.00', 0]
['+0.07', '+1.00', '+0.46', '+0.13', '+0.06', '+0.15', '+0.00', '+0.00', 0]
['+0.07', '+1.01', '+0.46', '+0.10', '+0.07', '+0.15', '+0.00', '+0.00', 0]
['+0.08', '+1.01', '+0.46', '+0.08', '+0.07', '+0.15', '+0.00', '+0.00', 0]
['+0.08', '+1.01', '+0.46', '+0.05', '+0.08', '+0.15', '+0.00', '+0.00', 0]
['+0.09', '+1.01', '+0.46', '+0.02', '+0.09', '+0.15', '+0.00', '+0.00', 0]
['+0.09', '+1.01', '+0.46', '-0.00', '+0.10', '+0.15', '+0.00', '+0.00', 0]
['+0.09', '+1.01', '+0.46', '-0.03', '+0.10', '+0.15', '+0.00', '+0.00', 0]
['+0.10', '+1.01', '+0.46', '-0.06', '+0.11', '+0.15', '+0.00', '+0.00', 0]
['+0.10', '+1.01', '+0.46', '-0.08', '+0.12', '+0.15', '+0.00', '+0.00', 0]
['+0.11', '+1.00', '+0.46', '-0.11', '+0.13', '+0.15', '+0.00', '+0.00', 0]
['+0.11', '+1.00', '+0.46', '-0.14', '+0.13', '+0.15', '+0.00', '+0.00', 0]
['+0.12', '+1.00', '+0.46', '-0.16', '+0.14', '+0.15', '+0.00', '+0.00', 0]
['+0.12', '+1.00', '+0.46', '-0.19', '+0.15', '+0.14', '+0.00', '+0.00', 0]
['+0.13', '+0.99', '+0.46', '-0.22', '+0.15', '+0.15', '+0.00', '+0.00', 0]
['+0.13', '+0.99', '+0.46', '-0.24', '+0.16', '+0.15', '+0.00', '+0.00', 0]
