['+0.01', '+0.93', '+0.40', '-0.39', '-0.01', '-0.05', '+0.00', '+0.00', 1]
['+0.01', '+0.92', '+0.39', '-0.42', '-0.01', '-0.02', '+0.00', '+0.00', 1]
['+0.02', '+0.92', '+0.38', '-0.45', '-0.01', '+0.02', '+0.00', '+0.00', 1]
['+0.02', '+0.91', '+0.37', '-0.47', '-0.00', '+0.05', '+0.00', '+0.00', 1]
['+0.02', '+0.90', '+0.36', '-0.50', '+0.00', '+0.10', '+0.00', '+0.00', 1]
['+0.03', '+0.89', '+0.35', '-0.53', '+0.01', '+0.13', '+0.00', '+0.00', 1]
['+0.03', '+0.89', '+0.35', '-0.55', '+0.01', '+0.13', '+0.00', '+0.00', 0]
['+0.03', '+0.88', '+0.35', '-0.58', '+0.02', '+0.13', '+0.00', '+0.00', 0]
['+0.04', '+0.87', '+0.35', '-0.61', '+0.03', '+0.13', '+0.00', '+0.00', 0]
['+0.04', '+0.86', '+0.35', '-0.63', '+0.03', '+0.13', '+0.00', '+0.00', 0]
['+0.04', '+0.85', '+0.35', '-0.66', '+0.04', '+0.13', '+0.00', '+0.00', 0]
['+0.05', '+0.84', '+0.35', '-0.69', '+0.05', '+0.13', '+0.00', '+0.00', 0]
['+0.05', '+0.83', '+0.35', '-0.71', '+0.05', '+0.13', '+0.00', '+0.00', 0]
['+0.06', '+0.82', '+0.35', '-0.74', '+0.06', '+0.13', '+0.00', '+0.00', 0]
['+0.06', '+0.80', '+0.35', '-0.77', '+0.07', '+0.13', '+0.00', '+0.00', 0]
['+0.06', '+0.79', '+0.35', '-0.79', '+0.07', '+0.13', '+0.00', '+0.00', 0]
['+0.07', '+0.78', '+0.35', '-0.82', '+0.08', '+0.13', '+0.00', '+0.00', 0]
['+0.07', '+0.77', '+0.35', '-0.85', '+0.09', '+0.13', '+0.00', '+0.00', 0]
['+0.07', '+0.76', '+0.35', '-0.81', '+0.10', '+0.14', '+0.00', '+0.00', 2]
['+0.08', '+0.74', '+0.35', '-0.83', '+0.10', '+0.14', '+0.00', '+0.00', 0]
['+0.08', '+0.73', '+0.35', '-0.80', '+0.11', '+0.15', '+0.00', '+0.00', 2]
['+0.08', '+0.72', '+0.34', '-0.76', '+0.12', '+0.15', '+0.00', '+0.00', 2]
