['-0.10', '+0.41', '-0.03', '-0.28', 1]
['-0.09', '+0.22', '-0.03', '+0.00', 0]
['-0.09', '+0.41', '-0.03', '-0.30', 1]
['-0.08', '+0.22', '-0.04', '-0.02', 0]
['-0.08', '+0.41', '-0.04', '-0.32', 1]
['-0.07', '+0.22', '-0.04', '-0.04', 0]
['-0.06', '+0.41', '-0.05', '-0.35', 1]
['-0.06', '+0.22', '-0.05', '-0.07', 0]
['-0.05', '+0.02', '-0.05', '+0.21', 0]
['-0.05', '+0.22', '-0.05', '-0.10', 1]
['-0.05', '+0.03', '-0.05', '+0.17', 0]
['-0.05', '+0.22', '-0.05', '-0.13', 1]
['-0.04', '+0.03', '-0.05', '+0.14', 0]
['-0.04', '+0.22', '-0.05', '-0.17', 1]
['-0.04', '+0.03', '-0.05', '+0.11', 0]
['-0.04', '+0.22', '-0.05', '-0.20', 1]
['-0.03', '+0.03', '-0.05', '+0.08', 0]
['-0.03', '+0.23', '-0.05', '-0.23', 1]
['-0.03', '+0.03', '-0.06', '+0.05', 0]
['-0.03', '+0.23', '-0.06', '-0.26', 1]
['-0.02', '+0.03', '-0.06', '+0.01', 0]
['-0.02', '+0.23', '-0.06', '-0.30', 1]
['-0.02', '+0.03', '-0.07', '-0.03', 0]
['-0.02', '-0.16', '-0.07', '+0.25', 0]
['-0.02', '+0.04', '-0.06', '-0.07', 1]
['-0.02', '-0.16', '-0.06', '+0.21', 0]
['-0.02', '+0.04', '-0.06', '-0.11', 1]
['-0.02', '-0.16', '-0.06', '+0.17', 0]
['-0.02', '+0.04', '-0.06', '-0.14', 1]
['-0.02', '-0.15', '-0.06', '+0.13', 0]
['-0.03', '+0.04', '-0.06', '-0.18', 1]
['-0.03', '-0.15', '-0.06', '+0.09', 0]
['-0.03', '+0.04', '-0.06', '-0.22', 1]
['-0.03', '-0.15', '-0.06', '+0.05', 0]
['-0.03', '+0.05', '-0.06', '-0.26', 1]
['-0.03', '-0.15', '-0.07', '+0.01', 0]
['-0.03', '-0.34', '-0.07', '+0.28', 0]
['-0.04', '-0.15', '-0.06', '-0.03', 1]
['-0.04', '-0.34', '-0.06', '+0.24', 0]
['+0.02', '+0.16', '+0.02', '-0.24', 1]
['+0.02', '-0.03', '+0.02', '+0.06', 0]
['+0.02', '+0.16', '+0.02', '-0.23', 1]
['+0.03', '-0.03', '+0.02', '+0.07', 0]
['+0.03', '+0.16', '+0.02', '-0.22', 1]
['+0.03', '-0.03', '+0.01', '+0.08', 0]
['+0.03', '+0.16', '+0.01', '-0.21', 1]
['+0.03', '-0.04', '+0.01', '+0.09', 0]
['+0.03', '+0.16', '+0.01', '-0.20', 1]
['+0.03', '-0.04', '+0.01', '+0.10', 0]
['+0.03', '+0.16', '+0.01', '-0.19', 1]
['+0.04', '-0.04', '+0.01', '+0.10', 0]
['+0.04', '+0.16', '+0.01', '-0.19', 1]
['+0.04', '-0.04', '+0.00', '+0.11', 0]
['+0.04', '+0.16', '+0.01', '-0.19', 1]
['+0.04', '-0.04', '+0.00', '+0.11', 0]
['+0.04', '+0.16', '+0.00', '-0.18', 1]
['+0.04', '-0.04', '+0.00', '+0.11', 0]
['+0.04', '+0.16', '+0.00', '-0.18', 1]
['+0.05', '-0.04', '-0.00', '+0.11', 0]
['+0.04', '+0.16', '+0.00', '-0.18', 1]
['+0.05', '-0.04', '-0.00', '+0.11', 0]
['+0.05', '+0.16', '+0.00', '-0.18', 1]
['+0.05', '-0.04', '-0.00', '+0.11', 0]
['+0.05', '+0.16', '-0.00', '-0.18', 1]
['+0.05', '-0.04', '-0.00', '+0.11', 0]
['+0.05', '+0.16', '-0.00', '-0.18', 1]
['+0.06', '-0.04', '-0.01', '+0.11', 0]
['+0.05', '+0.16', '-0.00', '-0.18', 1]
['+0.06', '-0.04', '-0.01', '+0.11', 0]
['+0.06', '+0.16', '-0.01', '-0.19', 1]
['+0.06', '-0.04', '-0.01', '+0.10', 0]
['+0.06', '+0.16', '-0.01', '-0.19', 1]
['+0.06', '-0.04', '-0.01', '+0.10', 0]
['+0.06', '+0.16', '-0.01', '-0.20', 1]
['+0.07', '-0.04', '-0.01', '+0.09', 0]
['+0.06', '+0.16', '-0.01', '-0.20', 1]
['+0.07', '-0.03', '-0.01', '+0.08', 0]
['+0.07', '+0.16', '-0.01', '-0.21', 1]
['+0.07', '-0.03', '-0.02', '+0.08', 0]
['+0.07', '+0.16', '-0.02', '-0.22', 1]
['+0.07', '-0.03', '-0.02', '+0.07', 0]
['+0.07', '+0.16', '-0.02', '-0.23', 1]
['+0.08', '-0.03', '-0.02', '+0.05', 0]
['+0.07', '+0.16', '-0.02', '-0.25', 1]
['+0.08', '-0.03', '-0.03', '+0.04', 0]
['+0.08', '+0.16', '-0.03', '-0.26', 1]
['+0.08', '-0.03', '-0.03', '+0.02', 0]
['+0.08', '+0.16', '-0.03', '-0.28', 1]
['+0.08', '-0.03', '-0.04', '+0.00', 0]
['+0.08', '+0.16', '-0.04', '-0.30', 1]
['+0.09', '-0.03', '-0.04', '-0.02', 0]
['+0.09', '-0.22', '-0.04', '+0.26', 0]
['+0.08', '-0.03', '-0.04', '-0.05', 1]
['+0.08', '-0.22', '-0.04', '+0.23', 0]
['+0.08', '-0.03', '-0.04', '-0.08', 1]
['+0.08', '-0.22', '-0.04', '+0.21', 0]
['+0.07', '-0.03', '-0.03', '-0.10', 1]
['+0.07', '-0.22', '-0.03', '+0.18', 0]
['+0.07', '-0.03', '-0.03', '-0.12', 1]
['+0.07', '-0.22', '-0.03', '+0.16', 0]
['+0.06', '-0.02', '-0.03', '-0.14', 1]
['+0.06', '-0.22', '-0.03', '+0.14', 0]
['+0.06', '-0.02', '-0.03', '-0.16', 1]
['+0.06', '-0.22', '-0.03', '+0.12', 0]
['+0.05', '-0.02', '-0.03', '-0.18', 1]
['+0.05', '-0.22', '-0.03', '+0.10', 0]
['+0.05', '-0.02', '-0.03', '-0.20', 1]
['+0.05', '-0.22', '-0.04', '+0.08', 0]
['+0.04', '-0.02', '-0.03', '-0.22', 1]
['+0.04', '-0.22', '-0.04', '+0.06', 0]
['+0.04', '-0.02', '-0.04', '-0.24', 1]
['+0.04', '-0.21', '-0.04', '+0.04', 0]
['+0.03', '-0.02', '-0.04', '-0.27', 1]
['+0.03', '-0.21', '-0.05', '+0.01', 0]
['+0.03', '-0.41', '-0.05', '+0.29', 0]
['+0.02', '-0.21', '-0.04', '-0.02', 1]
['+0.02', '-0.41', '-0.04', '+0.26', 0]
['+0.01', '-0.21', '-0.04', '-0.04', 1]
['+0.00', '-0.41', '-0.04', '+0.24', 0]
['-0.01', '-0.21', '-0.03', '-0.07', 1]
['-0.01', '-0.40', '-0.03', '+0.21', 0]
['-0.02', '-0.21', '-0.03', '-0.09', 1]
['-0.02', '-0.40', '-0.03', '+0.19', 0]
['-0.03', '-0.21', '-0.03', '-0.11', 1]
['-0.03', '-0.40', '-0.03', '+0.18', 0]
['-0.04', '-0.21', '-0.03', '-0.13', 1]
['-0.05', '-0.40', '-0.03', '+0.16', 0]
['-0.05', '-0.21', '-0.03', '-0.14', 1]
['-0.06', '-0.40', '-0.03', '+0.14', 0]
['-0.07', '-0.21', '-0.03', '-0.16', 1]
['-0.07', '-0.40', '-0.03', '+0.12', 0]
['-0.08', '-0.20', '-0.03', '-0.18', 1]
['-0.08', '-0.40', '-0.03', '+0.11', 0]
['-0.09', '-0.20', '-0.03', '-0.19', 1]
['-0.09', '-0.40', '-0.03', '+0.09', 0]
['-0.10', '-0.20', '-0.03', '-0.21', 1]
['-0.11', '-0.40', '-0.03', '+0.07', 0]
['-0.11', '-0.20', '-0.03', '-0.23', 1]
['-0.12', '-0.40', '-0.04', '+0.05', 0]
['-0.13', '-0.59', '-0.04', '+0.33', 0]
['-0.14', '-0.40', '-0.03', '+0.03', 1]
['-0.15', '-0.59', '-0.03', '+0.31', 0]
['-0.16', '-0.40', '-0.02', '+0.01', 1]
['-0.17', '-0.59', '-0.02', '+0.29', 0]
['-0.18', '-0.39', '-0.02', '-0.01', 1]
['-0.19', '-0.59', '-0.02', '+0.28', 0]
['-0.20', '-0.39', '-0.01', '-0.02', 1]
['-0.21', '-0.59', '-0.01', '+0.27', 0]
['-0.22', '-0.39', '-0.01', '-0.02', 1]
['-0.23', '-0.59', '-0.01', '+0.27', 0]
['-0.24', '-0.39', '-0.00', '-0.03', 1]
['-0.24', '-0.59', '-0.00', '+0.26', 0]
['-0.26', '-0.39', '+0.00', '-0.03', 1]
['-0.26', '-0.59', '+0.00', '+0.26', 0]
['-0.28', '-0.39', '+0.01', '-0.03', 1]
['-0.28', '-0.59', '+0.01', '+0.27', 0]
['-0.30', '-0.39', '+0.01', '-0.02', 1]
['-0.30', '-0.59', '+0.01', '+0.27', 0]
['-0.32', '-0.39', '+0.02', '-0.01', 1]
['-0.32', '-0.59', '+0.02', '+0.28', 0]
['-0.34', '-0.39', '+0.02', '-0.00', 1]
['-0.34', '-0.59', '+0.02', '+0.30', 0]
['-0.35', '-0.40', '+0.03', '+0.01', 1]
['-0.36', '-0.59', '+0.03', '+0.31', 0]
['-0.37', '-0.40', '+0.04', '+0.03', 1]
['-0.38', '-0.59', '+0.04', '+0.33', 0]
['-0.39', '-0.40', '+0.04', '+0.05', 1]
['-0.40', '-0.59', '+0.04', '+0.36', 0]
['-0.41', '-0.40', '+0.05', '+0.08', 1]
['-0.42', '-0.20', '+0.05', '-0.20', 1]
['-0.43', '-0.40', '+0.05', '+0.11', 0]
['-0.43', '-0.21', '+0.05', '-0.16', 1]
['-0.44', '-0.40', '+0.05', '+0.14', 0]
['-0.45', '-0.21', '+0.05', '-0.13', 1]
['-0.45', '-0.40', '+0.05', '+0.18', 0]
['-0.46', '-0.21', '+0.05', '-0.10', 1]
['-0.46', '-0.40', '+0.05', '+0.21', 0]
['-0.47', '-0.21', '+0.05', '-0.07', 1]
['-0.47', '-0.41', '+0.05', '+0.24', 0]
['-0.48', '-0.21', '+0.06', '-0.04', 1]
['-0.49', '-0.41', '+0.06', '+0.27', 0]
['-0.50', '-0.21', '+0.06', '-0.00', 1]
['-0.50', '-0.41', '+0.06', '+0.31', 0]
['-0.51', '-0.21', '+0.07', '+0.04', 1]
['-0.51', '-0.41', '+0.07', '+0.35', 0]
['-0.52', '-0.22', '+0.08', '+0.08', 1]
['-0.52', '-0.02', '+0.08', '-0.19', 1]
['-0.53', '-0.22', '+0.07', '+0.13', 0]
['-0.53', '-0.02', '+0.08', '-0.14', 1]
['-0.53', '-0.22', '+0.07', '+0.18', 0]
['-0.53', '-0.03', '+0.08', '-0.09', 1]
['-0.53', '-0.22', '+0.08', '+0.22', 0]
['-0.54', '-0.03', '+0.08', '-0.04', 1]
['-0.54', '-0.23', '+0.08', '+0.27', 0]
['-0.54', '-0.03', '+0.08', '+0.01', 1]
['-0.55', '-0.23', '+0.08', '+0.32', 0]
['-0.55', '-0.03', '+0.09', '+0.06', 1]
['-0.55', '+0.16', '+0.09', '-0.20', 1]
['-0.55', '-0.04', '+0.09', '+0.12', 0]
['-0.55', '+0.16', '+0.09', '-0.15', 1]
['-0.54', '-0.04', '+0.09', '+0.17', 0]
['-0.55', '+0.15', '+0.09', '-0.09', 1]
['-0.54', '-0.04', '+0.09', '+0.23', 0]
['-0.54', '+0.15', '+0.09', '-0.04', 1]
['-0.54', '-0.04', '+0.09', '+0.28', 0]
['-0.54', '+0.15', '+0.10', '+0.02', 1]
['-0.54', '+0.34', '+0.10', '-0.24', 1]
['-0.53', '+0.15', '+0.09', '+0.08', 0]
['-0.53', '+0.34', '+0.10', '-0.18', 1]
['-0.52', '+0.14', '+0.09', '+0.14', 0]
['-0.52', '+0.34', '+0.10', '-0.12', 1]
['-0.51', '+0.14', '+0.09', '+0.20', 0]
['-0.51', '+0.34', '+0.10', '-0.06', 1]
['-0.50', '+0.14', '+0.10', '+0.26', 0]
['-0.50', '+0.33', '+0.10', '+0.00', 1]
['-0.49', '+0.53', '+0.10', '-0.26', 1]
['-0.48', '+0.33', '+0.10', '+0.07', 0]
['-0.48', '+0.52', '+0.10', '-0.20', 1]
['-0.47', '+0.33', '+0.09', '+0.13', 0]
['-0.46', '+0.52', '+0.10', '-0.14', 1]
['-0.45', '+0.32', '+0.09', '+0.18', 0]
['-0.44', '+0.52', '+0.10', '-0.08', 1]
['-0.43', '+0.32', '+0.10', '+0.24', 0]
['-0.42', '+0.52', '+0.10', '-0.02', 1]
['-0.41', '+0.71', '+0.10', '-0.28', 1]
['-0.40', '+0.51', '+0.09', '+0.05', 0]
['-0.39', '+0.71', '+0.09', '-0.22', 1]
['-0.38', '+0.51', '+0.09', '+0.11', 0]
['-0.37', '+0.70', '+0.09', '-0.16', 1]
['-0.35', '+0.51', '+0.09', '+0.16', 0]
['-0.34', '+0.70', '+0.09', '-0.10', 1]
['-0.33', '+0.89', '+0.09', '-0.36', 1]
['-0.31', '+0.70', '+0.08', '-0.04', 0]
['-0.30', '+0.89', '+0.08', '-0.31', 1]
['-0.28', '+0.70', '+0.08', '+0.01', 0]
['-0.26', '+0.89', '+0.08', '-0.26', 1]
['-0.25', '+0.69', '+0.07', '+0.06', 0]
['-0.23', '+0.89', '+0.07', '-0.21', 1]
['-0.21', '+0.69', '+0.07', '+0.10', 0]
['-0.02', '+0.15', '-0.00', '-0.26', 1]
['-0.01', '-0.04', '-0.01', '+0.03', 0]
['-0.01', '+0.15', '-0.01', '-0.26', 1]
['-0.01', '-0.04', '-0.01', '+0.03', 0]
['-0.01', '+0.15', '-0.01', '-0.27', 1]
['-0.01', '-0.04', '-0.02', '+0.02', 0]
['-0.01', '+0.15', '-0.02', '-0.28', 1]
['-0.01', '-0.04', '-0.02', '+0.01', 0]
['-0.01', '+0.15', '-0.02', '-0.29', 1]
['-0.00', '-0.04', '-0.03', '-0.00', 0]
['-0.01', '+0.15', '-0.03', '-0.31', 1]
['-0.00', '-0.04', '-0.03', '-0.02', 0]
['-0.00', '+0.15', '-0.03', '-0.33', 1]
['-0.00', '-0.04', '-0.04', '-0.04', 0]
['-0.00', '-0.23', '-0.04', '+0.23', 0]
['-0.01', '-0.04', '-0.04', '-0.07', 1]
['-0.01', '-0.23', '-0.04', '+0.21', 0]
['-0.01', '-0.04', '-0.03', '-0.09', 1]
['-0.01', '-0.23', '-0.04', '+0.19', 0]
['-0.02', '-0.04', '-0.03', '-0.12', 1]
['-0.02', '-0.23', '-0.04', '+0.16', 0]
['-0.02', '-0.04', '-0.03', '-0.14', 1]
['-0.02', '-0.23', '-0.03', '+0.14', 0]
['-0.03', '-0.03', '-0.03', '-0.16', 1]
['-0.03', '-0.23', '-0.04', '+0.12', 0]
['-0.03', '-0.03', '-0.03', '-0.18', 1]
['-0.03', '-0.23', '-0.04', '+0.10', 0]
['-0.04', '-0.03', '-0.03', '-0.20', 1]
['-0.04', '-0.23', '-0.04', '+0.08', 0]
['-0.04', '-0.03', '-0.04', '-0.23', 1]
['-0.04', '-0.23', '-0.04', '+0.06', 0]
['-0.05', '-0.03', '-0.04', '-0.25', 1]
['-0.05', '-0.23', '-0.05', '+0.03', 0]
['-0.05', '-0.03', '-0.04', '-0.28', 1]
['-0.05', '-0.22', '-0.05', '+0.00', 0]
['-0.06', '-0.42', '-0.05', '+0.28', 0]
['-0.07', '-0.22', '-0.04', '-0.03', 1]
['-0.07', '-0.42', '-0.05', '+0.25', 0]
['-0.08', '-0.22', '-0.04', '-0.06', 1]
['-0.08', '-0.42', '-0.04', '+0.22', 0]
['-0.09', '-0.22', '-0.04', '-0.08', 1]
['-0.10', '-0.41', '-0.04', '+0.20', 0]
['-0.10', '-0.22', '-0.03', '-0.11', 1]
['-0.11', '-0.41', '-0.04', '+0.17', 0]
['-0.12', '-0.22', '-0.03', '-0.13', 1]
['-0.12', '-0.41', '-0.04', '+0.15', 0]
['-0.13', '-0.22', '-0.03', '-0.15', 1]
['-0.13', '-0.41', '-0.04', '+0.13', 0]
['-0.14', '-0.22', '-0.03', '-0.17', 1]
['-0.15', '-0.41', '-0.04', '+0.11', 0]
['-0.16', '-0.21', '-0.03', '-0.20', 1]
['-0.16', '-0.41', '-0.04', '+0.08', 0]
['-0.17', '-0.60', '-0.04', '+0.37', 0]
['-0.18', '-0.41', '-0.03', '+0.06', 1]
['-0.19', '-0.60', '-0.03', '+0.34', 0]
['-0.20', '-0.41', '-0.02', '+0.04', 1]
['-0.21', '-0.60', '-0.02', '+0.33', 0]
['-0.22', '-0.41', '-0.01', '+0.03', 1]
['-0.23', '-0.60', '-0.01', '+0.32', 0]
['-0.24', '-0.41', '-0.01', '+0.02', 1]
['-0.25', '-0.60', '-0.01', '+0.31', 0]
['-0.26', '-0.41', '-0.00', '+0.02', 1]
['-0.27', '-0.60', '-0.00', '+0.31', 0]
['-0.28', '-0.41', '+0.01', '+0.02', 1]
['-0.29', '-0.60', '+0.01', '+0.31', 0]
['-0.30', '-0.41', '+0.01', '+0.02', 1]
['-0.31', '-0.60', '+0.01', '+0.32', 0]
['-0.32', '-0.41', '+0.02', '+0.03', 1]
['-0.33', '-0.60', '+0.02', '+0.33', 0]
['-0.34', '-0.41', '+0.03', '+0.04', 1]
['-0.35', '-0.60', '+0.03', '+0.34', 0]
['-0.36', '-0.41', '+0.03', '+0.06', 1]
['-0.37', '-0.60', '+0.03', '+0.36', 0]
['-0.38', '-0.41', '+0.04', '+0.08', 1]
['-0.39', '-0.60', '+0.04', '+0.38', 0]
['-0.40', '-0.41', '+0.05', '+0.10', 1]
['-0.41', '-0.61', '+0.05', '+0.41', 0]
['-0.42', '-0.41', '+0.06', '+0.14', 1]
['-0.43', '-0.22', '+0.06', '-0.14', 1]
['-0.43', '-0.41', '+0.06', '+0.18', 0]
['-0.44', '-0.22', '+0.07', '-0.10', 1]
['-0.45', '-0.42', '+0.06', '+0.22', 0]
['-0.46', '-0.22', '+0.07', '-0.06', 1]
['-0.46', '-0.42', '+0.07', '+0.26', 0]
['-0.47', '-0.22', '+0.07', '-0.01', 1]
['-0.47', '-0.42', '+0.07', '+0.30', 0]
['-0.48', '-0.23', '+0.08', '+0.03', 1]
['-0.49', '-0.42', '+0.08', '+0.35', 0]
['-0.49', '-0.23', '+0.08', '+0.08', 1]
['-0.50', '-0.42', '+0.09', '+0.40', 0]
['-0.51', '-0.23', '+0.09', '+0.13', 1]
['-0.51', '-0.04', '+0.10', '-0.13', 1]
['-0.51', '-0.23', '+0.09', '+0.20', 0]
['-0.52', '-0.04', '+0.10', '-0.07', 1]
['-0.52', '-0.24', '+0.10', '+0.26', 0]
['-0.52', '-0.04', '+0.10', '-0.00', 1]
['-0.52', '-0.24', '+0.10', '+0.32', 0]
['-0.53', '-0.04', '+0.11', '+0.06', 1]
['-0.53', '+0.15', '+0.11', '-0.20', 1]
['-0.53', '-0.05', '+0.11', '+0.13', 0]
['-0.53', '+0.15', '+0.11', '-0.13', 1]
['-0.52', '-0.05', '+0.11', '+0.20', 0]
['-0.53', '+0.14', '+0.11', '-0.06', 1]
['-0.52', '-0.05', '+0.11', '+0.26', 0]
['-0.52', '+0.14', '+0.11', '+0.01', 1]
['-0.52', '-0.06', '+0.11', '+0.33', 0]
['-0.52', '+0.14', '+0.12', '+0.08', 1]
['-0.52', '+0.33', '+0.12', '-0.17', 1]
['-0.51', '+0.13', '+0.12', '+0.15', 0]
['-0.51', '+0.33', '+0.12', '-0.10', 1]
['-0.50', '+0.13', '+0.12', '+0.23', 0]
['-0.50', '+0.32', '+0.12', '-0.02', 1]
['-0.49', '+0.52', '+0.12', '-0.27', 1]
['-0.48', '+0.32', '+0.12', '+0.06', 0]
['-0.48', '+0.51', '+0.12', '-0.20', 1]
['-0.47', '+0.32', '+0.12', '+0.13', 0]
['-0.46', '+0.51', '+0.12', '-0.12', 1]
['-0.45', '+0.31', '+0.12', '+0.20', 0]
['-0.44', '+0.51', '+0.12', '-0.05', 1]
['-0.43', '+0.70', '+0.12', '-0.30', 1]
['-0.42', '+0.50', '+0.11', '+0.02', 0]
['-0.41', '+0.70', '+0.11', '-0.23', 1]
['-0.40', '+0.50', '+0.11', '+0.10', 0]
['-0.39', '+0.69', '+0.11', '-0.16', 1]
['-0.37', '+0.50', '+0.11', '+0.17', 0]
['-0.36', '+0.69', '+0.11', '-0.09', 1]
['-0.35', '+0.88', '+0.11', '-0.35', 1]
['-0.33', '+0.69', '+0.10', '-0.02', 0]
['-0.32', '+0.88', '+0.10', '-0.28', 1]
['-0.30', '+0.68', '+0.10', '+0.04', 0]
['-0.29', '+0.88', '+0.10', '-0.22', 1]
['-0.27', '+1.07', '+0.09', '-0.48', 1]
['-0.25', '+0.87', '+0.08', '-0.16', 0]
['-0.23', '+1.07', '+0.08', '-0.43', 1]
['-0.21', '+0.87', '+0.07', '-0.11', 0]
['-0.19', '+1.07', '+0.07', '-0.38', 1]
['-0.17', '+0.87', '+0.06', '-0.06', 0]
['-0.15', '+1.06', '+0.06', '-0.34', 1]
['-0.13', '+0.87', '+0.05', '-0.03', 0]
['-0.11', '+1.06', '+0.05', '-0.30', 1]
['-0.09', '+1.26', '+0.05', '-0.58', 1]
['-0.07', '+1.06', '+0.04', '-0.27', 0]
['-0.05', '+1.26', '+0.03', '-0.55', 1]
['-0.02', '+1.06', '+0.02', '-0.25', 0]
['+0.00', '+1.26', '+0.01', '-0.54', 1]
['+0.03', '+1.06', '+0.00', '-0.24', 0]
['+0.05', '+1.26', '-0.00', '-0.53', 1]
['+0.07', '+1.06', '-0.01', '-0.24', 0]
['+0.09', '+1.26', '-0.02', '-0.54', 1]
['+0.12', '+1.06', '-0.03', '-0.25', 0]
['+0.14', '+1.26', '-0.03', '-0.55', 1]
['+0.16', '+1.06', '-0.04', '-0.27', 0]
['+0.19', '+1.26', '-0.05', '-0.58', 1]
['+0.21', '+1.06', '-0.06', '-0.30', 0]
['+0.23', '+1.26', '-0.07', '-0.61', 1]
['+0.26', '+1.06', '-0.08', '-0.34', 0]
['+0.28', '+1.26', '-0.09', '-0.66', 1]
['+0.30', '+1.07', '-0.10', '-0.39', 0]
['+0.32', '+0.87', '-0.11', '-0.13', 0]
['+0.34', '+1.07', '-0.11', '-0.46', 1]
['+0.36', '+0.88', '-0.12', '-0.20', 0]
['+0.38', '+1.07', '-0.12', '-0.53', 1]
['+0.40', '+0.88', '-0.13', '-0.28', 0]
['+0.42', '+1.08', '-0.14', '-0.61', 1]
['+0.44', '+0.88', '-0.15', '-0.36', 0]
['+0.46', '+0.69', '-0.16', '-0.12', 0]
['+0.47', '+0.89', '-0.16', '-0.46', 1]
['+0.49', '+0.70', '-0.17', '-0.22', 0]
['+0.51', '+0.89', '-0.17', '-0.56', 1]
['+0.52', '+0.70', '-0.19', '-0.33', 0]
['+0.54', '+0.51', '-0.19', '-0.10', 0]
['+0.55', '+0.71', '-0.19', '-0.44', 1]
['+0.56', '+0.51', '-0.20', '-0.22', 0]
['+0.57', '+0.71', '-0.21', '-0.57', 1]
['+0.59', '+0.52', '-0.22', '-0.35', 0]
['+0.05', '+0.21', '-0.00', '-0.33', 1]
['+0.05', '+0.01', '-0.01', '-0.04', 0]
['+0.05', '+0.21', '-0.01', '-0.34', 1]
['+0.06', '+0.01', '-0.02', '-0.05', 0]
['+0.06', '-0.18', '-0.02', '+0.24', 0]
['+0.06', '+0.02', '-0.01', '-0.06', 1]
['+0.06', '-0.18', '-0.01', '+0.23', 0]
['+0.05', '+0.02', '-0.01', '-0.07', 1]
['+0.05', '-0.18', '-0.01', '+0.22', 0]
['+0.05', '+0.02', '-0.01', '-0.07', 1]
['+0.05', '-0.18', '-0.01', '+0.22', 0]
['+0.05', '+0.02', '-0.00', '-0.07', 1]
['+0.05', '-0.18', '-0.00', '+0.22', 0]
['+0.04', '+0.02', '+0.00', '-0.08', 1]
['+0.04', '-0.18', '-0.00', '+0.22', 0]
['+0.04', '+0.02', '+0.00', '-0.08', 1]
['+0.04', '-0.18', '+0.00', '+0.22', 0]
['+0.04', '+0.02', '+0.01', '-0.07', 1]
['+0.04', '-0.18', '+0.00', '+0.22', 0]
['+0.03', '+0.02', '+0.01', '-0.07', 1]
['+0.03', '-0.18', '+0.01', '+0.22', 0]
['+0.03', '+0.02', '+0.01', '-0.07', 1]
['+0.03', '-0.18', '+0.01', '+0.23', 0]
['+0.03', '+0.02', '+0.02', '-0.06', 1]
['+0.03', '-0.18', '+0.01', '+0.24', 0]
['+0.02', '+0.01', '+0.02', '-0.05', 1]
['+0.02', '+0.21', '+0.02', '-0.34', 1]
['+0.03', '+0.01', '+0.01', '-0.04', 0]
['+0.03', '+0.21', '+0.01', '-0.33', 1]
['+0.03', '+0.01', '+0.00', '-0.03', 0]
['+0.03', '+0.21', '+0.00', '-0.32', 1]
['+0.04', '+0.01', '-0.00', '-0.03', 0]
['+0.04', '+0.21', '-0.00', '-0.32', 1]
['+0.04', '+0.01', '-0.01', '-0.03', 0]
['+0.04', '+0.21', '-0.01', '-0.33', 1]
['+0.04', '+0.01', '-0.02', '-0.04', 0]
['+0.05', '+0.21', '-0.02', '-0.33', 1]
['+0.05', '+0.01', '-0.02', '-0.05', 0]
['+0.05', '-0.18', '-0.03', '+0.24', 0]
['+0.05', '+0.02', '-0.02', '-0.06', 1]
['+0.05', '-0.18', '-0.02', '+0.22', 0]
