['+0.01', '+0.95', '+0.73', '+0.32', '-0.01', '-0.13', '+0.00', '+0.00', 1]
['+0.02', '+0.96', '+0.72', '+0.29', '-0.02', '-0.09', '+0.00', '+0.00', 1]
['+0.03', '+0.96', '+0.71', '+0.27', '-0.02', '-0.04', '+0.00', '+0.00', 1]
['+0.04', '+0.96', '+0.70', '+0.24', '-0.02', '+0.00', '+0.00', '+0.00', 1]
['+0.04', '+0.97', '+0.69', '+0.21', '-0.02', '+0.04', '+0.00', '+0.00', 1]
['+0.05', '+0.97', '+0.68', '+0.19', '-0.02', '+0.08', '+0.00', '+0.00', 1]
['+0.06', '+0.97', '+0.67', '+0.16', '-0.01', '+0.11', '+0.00', '+0.00', 1]
['+0.06', '+0.97', '+0.66', '+0.13', '-0.00', '+0.16', '+0.00', '+0.00', 1]
['+0.07', '+0.97', '+0.66', '+0.11', '+0.01', '+0.16', '+0.00', '+0.00', 0]
['+0.08', '+0.98', '+0.66', '+0.08', '+0.01', '+0.16', '+0.00', '+0.00', 0]
['+0.08', '+0.98', '+0.66', '+0.05', '+0.02', '+0.16', '+0.00', '+0.00', 0]
['+0.09', '+0.98', '+0.66', '+0.03', '+0.03', '+0.16', '+0.00', '+0.00', 0]
['+0.10', '+0.98', '+0.66', '+0.00', '+0.04', '+0.16', '+0.00', '+0.00', 0]
['+0.10', '+0.98', '+0.66', '-0.03', '+0.05', '+0.16', '+0.00', '+0.00', 0]
['+0.11', '+0.98', '+0.66', '-0.05', '+0.06', '+0.16', '+0.00', '+0.00', 0]
['+0.12', '+0.97', '+0.66', '-0.08', '+0.06', '+0.16', '+0.00', '+0.00', 0]
['+0.12', '+0.97', '+0.66', '-0.11', '+0.07', '+0.16', '+0.00', '+0.00', 0]
['+0.13', '+0.97', '+0.66', '-0.13', '+0.08', '+0.16', '+0.00', '+0.00', 0]
['+0.14', '+0.97', '+0.66', '-0.16', '+0.09', '+0.16', '+0.00', '+0.00', 0]
['+0.14', '+0.97', '+0.66', '-0.19', '+0.10', '+0.16', '+0.00', '+0.00', 0]
['+0.15', '+0.96', '+0.66', '-0.21', '+0.10', '+0.16', '+0.00', '+0.00', 0]
['+0.16', '+0.96', '+0.66', '-0.24', '+0.11', '+0.16', '+0.00', '+0.00', 0]
['+0.16', '+0.96', '+0.66', '-0.27', '+0.12', '+0.16', '+0.00', '+0.00', 0]
['+0.17', '+0.95', '+0.66', '-0.29', '+0.13', '+0.16', '+0.00', '+0.00', 0]
['+0.18', '+0.95', '+0.66', '-0.32', '+0.14', '+0.16', '+0.00', '+0.00', 0]
['+0.18', '+0.94', '+0.66', '-0.35', '+0.15', '+0.16', '+0.00', '+0.00', 0]
['+0.19', '+0.94', '+0.66', '-0.37', '+0.15', '+0.16', '+0.00', '+0.00', 0]
['+0.20', '+0.93', '+0.66', '-0.40', '+0.16', '+0.16', '+0.00', '+0.00', 0]
['+0.20', '+0.92', '+0.66', '-0.43', '+0.17', '+0.16', '+0.00', '+0.00', 0]
['+0.21', '+0.92', '+0.66', '-0.45', '+0.18', '+0.16', '+0.00', '+0.00', 0]
['+0.22', '+0.91', '+0.67', '-0.48', '+0.18', '+0.12', '+0.00', '+0.00', 3]
['+0.22', '+0.90', '+0.67', '-0.51', '+0.19', '+0.12', '+0.00', '+0.00', 0]
['+0.23', '+0.89', '+0.67', '-0.53', '+0.20', '+0.12', '+0.00', '+0.00', 0]
['+0.24', '+0.88', '+0.67', '-0.56', '+0.20', '+0.12', '+0.00', '+0.00', 0]
['+0.24', '+0.88', '+0.67', '-0.59', '+0.21', '+0.12', '+0.00', '+0.00', 0]
['+0.25', '+0.87', '+0.67', '-0.61', '+0.21', '+0.12', '+0.00', '+0.00', 0]
['+0.26', '+0.86', '+0.67', '-0.64', '+0.22', '+0.12', '+0.00', '+0.00', 0]
['+0.26', '+0.85', '+0.67', '-0.67', '+0.23', '+0.12', '+0.00', '+0.00', 0]
['+0.27', '+0.84', '+0.67', '-0.69', '+0.23', '+0.12', '+0.00', '+0.00', 0]
['+0.28', '+0.83', '+0.67', '-0.72', '+0.24', '+0.12', '+0.00', '+0.00', 0]
['+0.28', '+0.82', '+0.67', '-0.75', '+0.25', '+0.12', '+0.00', '+0.00', 0]
['+0.29', '+0.80', '+0.67', '-0.77', '+0.25', '+0.12', '+0.00', '+0.00', 0]
['+0.30', '+0.79', '+0.64', '-0.74', '+0.26', '+0.12', '+0.00', '+0.00', 2]
['+0.30', '+0.78', '+0.61', '-0.72', '+0.26', '+0.11', '+0.00', '+0.00', 2]
['+0.31', '+0.77', '+0.60', '-0.71', '+0.27', '+0.11', '+0.00', '+0.00', 2]
['+0.31', '+0.76', '+0.56', '-0.69', '+0.27', '+0.10', '+0.00', '+0.00', 2]
['+0.32', '+0.75', '+0.56', '-0.71', '+0.28', '+0.10', '+0.00', '+0.00', 0]
['+0.33', '+0.74', '+0.55', '-0.70', '+0.28', '+0.10', '+0.00', '+0.00', 2]
['+0.33', '+0.73', '+0.54', '-0.67', '+0.29', '+0.11', '+0.00', '+0.00', 2]
['+0.34', '+0.72', '+0.53', '-0.66', '+0.30', '+0.12', '+0.00', '+0.00', 2]
['+0.34', '+0.71', '+0.53', '-0.68', '+0.30', '+0.09', '+0.00', '+0.00', 3]
['+0.35', '+0.70', '+0.53', '-0.66', '+0.30', '+0.10', '+0.00', '+0.00', 2]
['+0.35', '+0.69', '+0.50', '-0.65', '+0.31', '+0.10', '+0.00', '+0.00', 2]
['+0.36', '+0.68', '+0.48', '-0.61', '+0.31', '+0.10', '+0.00', '+0.00', 2]
['+0.36', '+0.67', '+0.45', '-0.58', '+0.32', '+0.10', '+0.00', '+0.00', 2]
['+0.37', '+0.66', '+0.46', '-0.61', '+0.32', '+0.07', '+0.00', '+0.00', 3]
['+0.37', '+0.65', '+0.43', '-0.58', '+0.33', '+0.07', '+0.00', '+0.00', 2]
['+0.37', '+0.65', '+0.41', '-0.55', '+0.33', '+0.08', '+0.00', '+0.00', 2]
['+0.38', '+0.64', '+0.39', '-0.54', '+0.33', '+0.07', '+0.00', '+0.00', 2]
['+0.38', '+0.63', '+0.37', '-0.54', '+0.34', '+0.06', '+0.00', '+0.00', 2]
