['+0.00', '+0.94', '+0.20', '-0.17', '-0.00', '-0.02', '+0.00', '+0.00', 1]
['+0.01', '+0.93', '+0.19', '-0.20', '-0.00', '+0.01', '+0.00', '+0.00', 1]
['+0.01', '+0.93', '+0.18', '-0.22', '+0.00', '+0.06', '+0.00', '+0.00', 1]
['+0.01', '+0.93', '+0.18', '-0.25', '+0.00', '+0.06', '+0.00', '+0.00', 0]
['+0.01', '+0.92', '+0.18', '-0.28', '+0.01', '+0.06', '+0.00', '+0.00', 0]
['+0.01', '+0.92', '+0.18', '-0.30', '+0.01', '+0.06', '+0.00', '+0.00', 0]
['+0.02', '+0.91', '+0.18', '-0.33', '+0.01', '+0.06', '+0.00', '+0.00', 0]
['+0.02', '+0.91', '+0.18', '-0.36', '+0.01', '+0.06', '+0.00', '+0.00', 0]
['+0.02', '+0.90', '+0.18', '-0.38', '+0.02', '+0.06', '+0.00', '+0.00', 0]
['+0.02', '+0.89', '+0.18', '-0.41', '+0.02', '+0.06', '+0.00', '+0.00', 0]
['+0.02', '+0.89', '+0.18', '-0.44', '+0.02', '+0.06', '+0.00', '+0.00', 0]
['+0.02', '+0.88', '+0.18', '-0.46', '+0.03', '+0.06', '+0.00', '+0.00', 0]
['+0.03', '+0.87', '+0.18', '-0.49', '+0.03', '+0.06', '+0.00', '+0.00', 0]
['+0.03', '+0.87', '+0.18', '-0.52', '+0.03', '+0.06', '+0.00', '+0.00', 0]
['+0.03', '+0.86', '+0.18', '-0.54', '+0.03', '+0.06', '+0.00', '+0.00', 0]
['+0.03', '+0.85', '+0.18', '-0.57', '+0.04', '+0.06', '+0.00', '+0.00', 0]
['+0.03', '+0.84', '+0.18', '-0.60', '+0.04', '+0.06', '+0.00', '+0.00', 0]
['+0.04', '+0.83', '+0.18', '-0.62', '+0.04', '+0.06', '+0.00', '+0.00', 0]
['+0.04', '+0.82', '+0.18', '-0.65', '+0.05', '+0.06', '+0.00', '+0.00', 0]
['+0.04', '+0.81', '+0.18', '-0.68', '+0.05', '+0.06', '+0.00', '+0.00', 0]
['+0.04', '+0.80', '+0.18', '-0.70', '+0.05', '+0.06', '+0.00', '+0.00', 0]
['+0.04', '+0.79', '+0.18', '-0.73', '+0.05', '+0.06', '+0.00', '+0.00', 0]
['+0.04', '+0.78', '+0.18', '-0.76', '+0.06', '+0.06', '+0.00', '+0.00', 0]
['+0.05', '+0.77', '+0.18', '-0.78', '+0.06', '+0.06', '+0.00', '+0.00', 0]
['+0.05', '+0.75', '+0.18', '-0.81', '+0.06', '+0.06', '+0.00', '+0.00', 0]
['+0.05', '+0.74', '+0.18', '-0.84', '+0.07', '+0.06', '+0.00', '+0.00', 0]
['+0.05', '+0.73', '+0.16', '-0.82', '+0.07', '+0.04', '+0.00', '+0.00', 2]
['+0.05', '+0.72', '+0.15', '-0.80', '+0.07', '+0.03', '+0.00', '+0.00', 2]
['+0.06', '+0.71', '+0.14', '-0.80', '+0.07', '+0.02', '+0.00', '+0.00', 2]
['+0.06', '+0.69', '+0.14', '-0.80', '+0.07', '+0.03', '+0.00', '+0.00', 2]
['+0.06', '+0.68', '+0.13', '-0.77', '+0.07', '+0.02', '+0.00', '+0.00', 2]
['+0.06', '+0.67', '+0.11', '-0.74', '+0.07', '+0.01', '+0.00', '+0.00', 2]
['+0.06', '+0.66', '+0.11', '-0.76', '+0.07', '+0.01', '+0.00', '+0.00', 0]
['+0.06', '+0.65', '+0.10', '-0.75', '+0.07', '+0.00', '+0.00', '+0.00', 2]
['+0.06', '+0.64', '+0.08', '-0.72', '+0.07', '-0.00', '+0.00', '+0.00', 2]
['+0.06', '+0.63', '+0.09', '-0.70', '+0.07', '+0.00', '+0.00', '+0.00', 2]
['+0.06', '+0.62', '+0.10', '-0.70', '+0.08', '+0.02', '+0.00', '+0.00', 2]
['+0.06', '+0.61', '+0.10', '-0.68', '+0.08', '+0.02', '+0.00', '+0.00', 2]
['+0.07', '+0.60', '+0.08', '-0.67', '+0.08', '+0.01', '+0.00', '+0.00', 2]
['+0.07', '+0.59', '+0.06', '-0.65', '+0.08', '-0.00', '+0.00', '+0.00', 2]
['+0.07', '+0.58', '+0.04', '-0.65', '+0.08', '-0.02', '+0.00', '+0.00', 2]
['+0.07', '+0.57', '+0.03', '-0.64', '+0.08', '-0.02', '+0.00', '+0.00', 2]
['+0.07', '+0.56', '+0.03', '-0.63', '+0.07', '-0.02', '+0.00', '+0.00', 2]
['+0.07', '+0.55', '+0.03', '-0.63', '+0.07', '-0.02', '+0.00', '+0.00', 2]
['+0.07', '+0.54', '+0.01', '-0.59', '+0.07', '-0.03', '+0.00', '+0.00', 2]
['+0.07', '+0.53', '+0.01', '-0.62', '+0.07', '-0.03', '+0.00', '+0.00', 0]
['+0.07', '+0.52', '+0.01', '-0.60', '+0.07', '-0.02', '+0.00', '+0.00', 2]
['+0.07', '+0.51', '+0.01', '-0.59', '+0.07', '-0.03', '+0.00', '+0.00', 2]
['+0.07', '+0.50', '-0.01', '-0.58', '+0.07', '-0.04', '+0.00', '+0.00', 2]
['+0.07', '+0.50', '-0.01', '-0.54', '+0.06', '-0.03', '+0.00', '+0.00', 2]
['+0.07', '+0.49', '-0.01', '-0.57', '+0.06', '-0.03', '+0.00', '+0.00', 0]
['+0.07', '+0.48', '-0.01', '-0.57', '+0.06', '-0.03', '+0.00', '+0.00', 2]
['+0.07', '+0.47', '-0.02', '-0.55', '+0.06', '-0.04', '+0.00', '+0.00', 2]
['+0.07', '+0.46', '-0.04', '-0.55', '+0.06', '-0.05', '+0.00', '+0.00', 2]
['+0.07', '+0.45', '-0.03', '-0.53', '+0.06', '-0.04', '+0.00', '+0.00', 2]
['+0.07', '+0.45', '-0.05', '-0.51', '+0.05', '-0.06', '+0.00', '+0.00', 2]
['+0.07', '+0.44', '-0.05', '-0.50', '+0.05', '-0.05', '+0.00', '+0.00', 2]
['+0.06', '+0.43', '-0.05', '-0.52', '+0.05', '-0.05', '+0.00', '+0.00', 0]
['+0.06', '+0.42', '-0.06', '-0.53', '+0.04', '-0.05', '+0.00', '+0.00', 2]
['+0.06', '+0.42', '-0.06', '-0.49', '+0.04', '-0.06', '+0.00', '+0.00', 2]
['+0.06', '+0.41', '-0.07', '-0.46', '+0.04', '-0.07', '+0.00', '+0.00', 2]
['+0.06', '+0.40', '-0.07', '-0.49', '+0.03', '-0.07', '+0.00', '+0.00', 0]
['+0.06', '+0.39', '-0.08', '-0.49', '+0.03', '-0.07', '+0.00', '+0.00', 2]
['+0.06', '+0.39', '-0.07', '-0.47', '+0.03', '-0.05', '+0.00', '+0.00', 2]
['+0.06', '+0.38', '-0.06', '-0.43', '+0.03', '-0.04', '+0.00', '+0.00', 2]
['+0.06', '+0.37', '-0.06', '-0.46', '+0.02', '-0.04', '+0.00', '+0.00', 0]
